practice_id,accepting_adults,accepting_children,last_reported
V035763,unknown,unknown,2026-02-11
V212376,no,no,2026-02-11
V161117,no,no,2026-02-11
V234956,yes,yes,2026-02-11
V134980,no,no,2026-02-11
V068238,no,no,2026-02-11
V032192,no,no,2026-02-11
V016949,no,no,2026-02-11
V004391_1,no,no,2026-02-11
V177255,no,no,2026-02-11
V040134,no,no,2026-02-11
V327070,no,no,2026-02-11
V329399,unknown,unknown,2026-02-11
V204035,yes,yes,2026-02-11
V282305,no,no,2026-02-11
V309310,yes,yes,2026-02-11
V333373,yes,yes,2026-02-11
V283497,no,no,2026-02-11
V291393,yes,yes,2026-02-11
V285446,no,no,2026-02-11
V316429,yes,yes,2026-02-11
V347064,no,no,2026-02-11
V348971,yes,yes,2026-02-11
V349082,no,no,2026-02-11
V349856,yes,yes,2026-02-11
V367346,no,no,2026-02-11
V367673,unknown,unknown,2026-02-11
V010681,yes,yes,2026-02-11
V000118,no,no,2026-02-11
V003687,yes,yes,2026-02-11
V003673,yes,yes,2026-02-11
V000691,no,no,2026-02-11
V003661,no,no,2026-02-11
V001048,no,yes,2026-02-11
V001059,no,no,2026-02-11
V001886,yes,yes,2026-02-11
V032671,no,no,2026-02-11
V004422,no,no,2026-02-11
V005317,no,no,2026-02-11
V007673,no,no,2026-02-11
V005429,no,no,2026-02-11
V005321,no,no,2026-02-11
V006658,no,yes,2026-02-11
V043193,yes,yes,2026-02-11
V004222,no,no,2026-02-11
V004186,yes,yes,2026-02-11
V002009,no,no,2026-02-11
V008255,no,no,2026-02-11
V002029,unknown,unknown,2026-02-11
V002626,no,yes,2026-02-11
V008252,yes,yes,2026-02-11
V006892,no,no,2026-02-11
V006883,no,no,2026-02-11
V000065,yes,yes,2026-02-11
V003190,no,no,2026-02-11
V006893,yes,yes,2026-02-11
V004131,yes,yes,2026-02-11
V005739,no,no,2026-02-11
V002573,no,no,2026-02-11
V002564,no,yes,2026-02-11
V002585,yes,yes,2026-02-11
V002946,no,yes,2026-02-11
V006228,no,no,2026-02-11
V017434,no,no,2026-02-11
V004307,no,yes,2026-02-11
V026685,yes,yes,2026-02-11
V004969,no,no,2026-02-11
V004045,no,no,2026-02-11
V005666,unknown,unknown,2026-02-11
V004050,yes,yes,2026-02-11
V011889,no,no,2026-02-11
V008919,yes,yes,2026-02-11
V002536,no,no,2026-02-11
V005803,yes,yes,2026-02-11
V005888,no,yes,2026-02-11
V042643,yes,yes,2026-02-11
V007735,yes,yes,2026-02-11
V003036,no,no,2026-02-11
V003075,no,no,2026-02-11
V002629,no,yes,2026-02-11
V002645,no,no,2026-02-11
V002832,yes,yes,2026-02-11
V003057,yes,yes,2026-02-11
V005008,no,no,2026-02-11
V006161,no,no,2026-02-11
V001611,no,no,2026-02-11
V006174,no,yes,2026-02-11
V001673,no,yes,2026-02-11
V008655,yes,yes,2026-02-11
V001681,no,yes,2026-02-11
V012745,no,yes,2026-02-11
V019959,no,no,2026-02-11
V025449,yes,yes,2026-02-11
V007258,no,no,2026-02-11
V007630,no,no,2026-02-11
V006670,unknown,unknown,2026-02-11
V007632,no,no,2026-02-11
V003424,no,no,2026-02-11
V010696,yes,yes,2026-02-11
V007729,no,no,2026-02-11
V003058,yes,yes,2026-02-11
V003844,unknown,unknown,2026-02-11
V003063,yes,yes,2026-02-11
V003066,yes,yes,2026-02-11
V003017,no,no,2026-02-11
V004408,no,no,2026-02-11
V022693,no,yes,2026-02-11
V001918,yes,yes,2026-02-11
V003477,no,yes,2026-02-11
V012008,no,yes,2026-02-11
V004114,no,no,2026-02-11
V003185,no,no,2026-02-11
V002855,yes,yes,2026-02-11
V005131,no,no,2026-02-11
V003423,no,yes,2026-02-11
V005435,no,yes,2026-02-11
V004897,yes,yes,2026-02-11
V005492,no,yes,2026-02-11
V003780,no,no,2026-02-11
V003879,no,no,2026-02-11
V003163,no,no,2026-02-11
V003812,yes,yes,2026-02-11
V004825,unknown,unknown,2026-02-11
V003683,no,no,2026-02-11
V003703,yes,yes,2026-02-11
V014813,no,no,2026-02-11
V002364,yes,yes,2026-02-11
V002331,yes,yes,2026-02-11
V002409,no,no,2026-02-11
V002386,yes,yes,2026-02-11
V003819,no,no,2026-02-11
V003823,no,no,2026-02-11
V008202,no,no,2026-02-11
V007297,yes,yes,2026-02-11
V013437,no,no,2026-02-11
V021313,no,yes,2026-02-11
V008944,no,no,2026-02-11
V007480,no,no,2026-02-11
V008583,no,no,2026-02-11
V005158,no,no,2026-02-11
V017143,yes,yes,2026-02-11
V006036,no,no,2026-02-11
V002824,no,no,2026-02-11
V011857,no,yes,2026-02-11
V005934,no,no,2026-02-11
V004701,no,no,2026-02-11
V003377,yes,yes,2026-02-11
V003365,no,no,2026-02-11
V006129,no,no,2026-02-11
V006175,no,yes,2026-02-11
V006205,no,no,2026-02-11
V008054,no,no,2026-02-11
V008007,unknown,unknown,2026-02-11
V003605,no,no,2026-02-11
V000728,no,no,2026-02-11
V008773,no,no,2026-02-11
V008625,no,no,2026-02-11
V001774,no,no,2026-02-11
V010647,unknown,unknown,2026-02-11
V000854,no,no,2026-02-11
V006536,no,no,2026-02-11
V008578,yes,yes,2026-02-11
V005459,yes,yes,2026-02-11
V014055,no,no,2026-02-11
V008052,no,no,2026-02-11
V011652,no,no,2026-02-11
V005940,yes,yes,2026-02-11
V010449,no,yes,2026-02-11
V007611,no,no,2026-02-11
V003920,no,no,2026-02-11
V002439,no,yes,2026-02-11
V002403,no,no,2026-02-11
V008717,yes,yes,2026-02-11
V008679,yes,yes,2026-02-11
V007567,no,no,2026-02-11
V007591,yes,yes,2026-02-11
V008598,no,yes,2026-02-11
V042530,yes,yes,2026-02-11
V003495,yes,yes,2026-02-11
V401920,unknown,unknown,2026-02-11
V325714,no,no,2026-02-11
V003835,no,no,2026-02-11
V043502,yes,yes,2026-02-11
V398012,unknown,unknown,2026-02-11
V007548,no,no,2026-02-11
V004259,yes,yes,2026-02-11
V003161,no,no,2026-02-11
V003151,no,yes,2026-02-11
V006332,no,no,2026-02-11
V025813,no,no,2026-02-11
V007840,no,yes,2026-02-11
V006451,no,no,2026-02-11
V000371,no,no,2026-02-11
V000374,no,no,2026-02-11
V000812,no,no,2026-02-11
V004652,yes,yes,2026-02-11
V007449,no,no,2026-02-11
V007440,no,yes,2026-02-11
V004813,unknown,unknown,2026-02-11
V012730,yes,yes,2026-02-11
V008688,no,no,2026-02-11
V004809,yes,yes,2026-02-11
V001391,no,no,2026-02-11
V004139,no,yes,2026-02-11
V007463,yes,yes,2026-02-11
V005763,yes,yes,2026-02-11
V008297,no,yes,2026-02-11
V007394,no,no,2026-02-11
V008213,no,no,2026-02-11
V001008,no,no,2026-02-11
V007916,unknown,unknown,2026-02-11
V000215,no,yes,2026-02-11
V008285,unknown,unknown,2026-02-11
V007987,yes,yes,2026-02-11
V001713,no,no,2026-02-11
V002695,yes,yes,2026-02-11
V013072,no,no,2026-02-11
V001375,no,no,2026-02-11
V004148,yes,yes,2026-02-11
V004955,yes,yes,2026-02-11
V006807,no,no,2026-02-11
V153975,yes,yes,2026-02-11
V006803,unknown,unknown,2026-02-11
V001315,no,no,2026-02-11
V006834,yes,yes,2026-02-11
V006805,yes,yes,2026-02-11
V008168,yes,yes,2026-02-11
V004670,no,no,2026-02-11
V008893,yes,yes,2026-02-11
V004380,no,yes,2026-02-11
V008335,yes,yes,2026-02-11
V002217,yes,yes,2026-02-11
V002519,no,no,2026-02-11
V002492,unknown,unknown,2026-02-11
V002488,yes,yes,2026-02-11
V007156,yes,yes,2026-02-11
V009119,unknown,unknown,2026-02-11
V002527,no,no,2026-02-11
V002900,no,no,2026-02-11
V007278,no,yes,2026-02-11
V000874,no,yes,2026-02-11
V000319,no,no,2026-02-11
V000247,yes,yes,2026-02-11
V002354,no,no,2026-02-11
V002917,yes,yes,2026-02-11
V000320,no,yes,2026-02-11
V029572,no,no,2026-02-11
V004602,unknown,unknown,2026-02-11
V016859,no,no,2026-02-11
V013795,no,yes,2026-02-11
V006519,unknown,unknown,2026-02-11
V024513,yes,yes,2026-02-11
V006806,yes,yes,2026-02-11
V000595,no,no,2026-02-11
V002094,yes,yes,2026-02-11
V012417,yes,yes,2026-02-11
V001740,no,no,2026-02-11
V008659,yes,yes,2026-02-11
V001550,no,no,2026-02-11
V005465,yes,yes,2026-02-11
V006051,no,no,2026-02-11
V002308,no,no,2026-02-11
V004609,unknown,unknown,2026-02-11
V014066,yes,yes,2026-02-11
V007928,no,yes,2026-02-11
V000630_1,no,no,2026-02-11
V002130,no,no,2026-02-11
V005302,yes,yes,2026-02-11
V014337,no,yes,2026-02-11
V005886,yes,yes,2026-02-11
V008721,yes,yes,2026-02-11
V002377,yes,yes,2026-02-11
V004560,yes,yes,2026-02-11
V008047,no,yes,2026-02-11
V001805,no,no,2026-02-11
V004561,yes,yes,2026-02-11
V003103,yes,yes,2026-02-11
V012586,yes,yes,2026-02-11
V010978,yes,yes,2026-02-11
V005535,no,no,2026-02-11
V005628,no,no,2026-02-11
V007824,no,no,2026-02-11
V002557,yes,yes,2026-02-11
V005683,no,yes,2026-02-11
V003734,yes,yes,2026-02-11
V006273,no,no,2026-02-11
V014158,yes,yes,2026-02-11
V014580,yes,yes,2026-02-11
V006403,no,yes,2026-02-11
V007327,no,no,2026-02-11
V007892,no,no,2026-02-11
V000668,no,no,2026-02-11
V007860,yes,yes,2026-02-11
V008956,no,no,2026-02-11
V002689,no,no,2026-02-11
V004005,no,yes,2026-02-11
V007844,no,no,2026-02-11
V002477,unknown,unknown,2026-02-11
V002803,no,no,2026-02-11
V006783,no,yes,2026-02-11
V011677,yes,yes,2026-02-11
V006682,no,yes,2026-02-11
V012664,no,no,2026-02-11
V012202,yes,yes,2026-02-11
V006773,no,no,2026-02-11
V006079,yes,yes,2026-02-11
V006593,no,no,2026-02-11
V008916,yes,yes,2026-02-11
V013621,no,yes,2026-02-11
V006681,no,no,2026-02-11
V001041,yes,yes,2026-02-11
V382691,no,no,2026-02-11
V006934,yes,yes,2026-02-11
V384035,yes,yes,2026-02-11
V006954,no,yes,2026-02-11
V001645,yes,yes,2026-02-11
V006959,no,no,2026-02-11
V002606,no,no,2026-02-11
V002677,no,yes,2026-02-11
V002865,yes,yes,2026-02-11
V002039,yes,yes,2026-02-11
V392096,no,no,2026-02-11
V002040,no,no,2026-02-11
V002224,unknown,unknown,2026-02-11
V023750,yes,yes,2026-02-11
V393726,yes,yes,2026-02-11
V004347,no,no,2026-02-11
V006268,no,no,2026-02-11
V005706,no,yes,2026-02-11
V003763,yes,yes,2026-02-11
V313357,unknown,unknown,2026-02-11
V003033,yes,yes,2026-02-11
V005464,yes,yes,2026-02-11
V012300,no,yes,2026-02-11
V005484,no,no,2026-02-11
V014160,no,no,2026-02-11
V004973,yes,yes,2026-02-11
V008744,no,no,2026-02-11
V003672,yes,yes,2026-02-11
V004126,no,yes,2026-02-11
V010776,no,no,2026-02-11
V001930,no,yes,2026-02-11
V007879,no,yes,2026-02-11
V003892,no,no,2026-02-11
V000490,yes,yes,2026-02-11
V003732,yes,yes,2026-02-11
V004390,yes,yes,2026-02-11
V007173,no,no,2026-02-11
V000677,yes,yes,2026-02-11
V000081,no,no,2026-02-11
V015052,no,no,2026-02-11
V012093,no,yes,2026-02-11
V001192,yes,yes,2026-02-11
V000521,yes,yes,2026-02-11
V007752,no,no,2026-02-11
V003263,no,no,2026-02-11
V002850,no,no,2026-02-11
V004896,yes,yes,2026-02-11
V004293,no,no,2026-02-11
V004856,yes,yes,2026-02-11
V004869,no,yes,2026-02-11
V004285,no,no,2026-02-11
V003411,no,yes,2026-02-11
V005425,no,no,2026-02-11
V007643,no,no,2026-02-11
V004341,no,no,2026-02-11
V005413,yes,yes,2026-02-11
V007003,yes,yes,2026-02-11
V394124,unknown,unknown,2026-02-11
V013119,unknown,unknown,2026-02-11
V043465,unknown,unknown,2026-02-11
V012315,no,no,2026-02-11
V008662,yes,yes,2026-02-11
V004612,yes,yes,2026-02-11
V013885,yes,yes,2026-02-11
V013487,yes,yes,2026-02-11
V012075,no,yes,2026-02-11
V012883,no,yes,2026-02-11
V014966,no,no,2026-02-11
V010392,unknown,unknown,2026-02-11
V002523,no,no,2026-02-11
V008203,no,no,2026-02-11
V008205,no,no,2026-02-11
V002743,no,no,2026-02-11
V007710,no,no,2026-02-11
V007489,no,no,2026-02-11
V011227,no,no,2026-02-11
V003256,no,no,2026-02-11
V003211,no,no,2026-02-11
V028699,no,no,2026-02-11
V000167,no,no,2026-02-11
V000168,no,no,2026-02-11
V000143,yes,yes,2026-02-11
V003018,no,no,2026-02-11
V006422,yes,yes,2026-02-11
V006212,no,yes,2026-02-11
V008879,yes,yes,2026-02-11
V025604,no,no,2026-02-11
V005953,no,no,2026-02-11
V005969,no,no,2026-02-11
V005974,no,yes,2026-02-11
V005418,no,yes,2026-02-11
V014398,no,no,2026-02-11
V005705,no,no,2026-02-11
V009525,unknown,unknown,2026-02-11
V007247,no,no,2026-02-11
V007805,no,no,2026-02-11
V000351,yes,yes,2026-02-11
V000391,no,no,2026-02-11
V000420,yes,yes,2026-02-11
V000272,no,no,2026-02-11
V004990,no,no,2026-02-11
V005081,no,no,2026-02-11
V008473,no,no,2026-02-11
V004493,no,no,2026-02-11
V337247,unknown,unknown,2026-02-11
V337520,yes,yes,2026-02-11
V027844,no,yes,2026-02-11
V017622,yes,yes,2026-02-11
V006019,no,no,2026-02-11
V008372,no,no,2026-02-11
V007017,no,no,2026-02-11
V007015,no,no,2026-02-11
V006777,no,no,2026-02-11
V014600,no,no,2026-02-11
V010621,no,no,2026-02-11
V021529,yes,yes,2026-02-11
V007128,no,no,2026-02-11
V007526,yes,yes,2026-02-11
V003373,no,no,2026-02-11
V006639,no,no,2026-02-11
V005658,no,no,2026-02-11
V036453,unknown,unknown,2026-02-11
V004538,no,yes,2026-02-11
V000875,yes,yes,2026-02-11
V007018,no,no,2026-02-11
V029084,no,no,2026-02-11
V012656,yes,yes,2026-02-11
V013889,no,no,2026-02-11
V002921,no,no,2026-02-11
V004726,no,no,2026-02-11
V000190,no,no,2026-02-11
V002644,yes,yes,2026-02-11
V005881,yes,yes,2026-02-11
V005067,no,no,2026-02-11
V005090,no,no,2026-02-11
V008073,yes,yes,2026-02-11
V006330,no,no,2026-02-11
V008435,yes,yes,2026-02-11
V006527,no,yes,2026-02-11
V006500,no,no,2026-02-11
V005787,no,no,2026-02-11
V006247,no,yes,2026-02-11
V007437,no,no,2026-02-11
V002295,yes,yes,2026-02-11
V007981,no,no,2026-02-11
V000242,no,no,2026-02-11
V004664,no,no,2026-02-11
V012677,no,yes,2026-02-11
V008342,no,no,2026-02-11
V001972,no,no,2026-02-11
V000045,yes,yes,2026-02-11
V007747,no,no,2026-02-11
V002781,no,no,2026-02-11
V008701,yes,yes,2026-02-11
V008698,yes,yes,2026-02-11
V012977,no,yes,2026-02-11
V005328,no,no,2026-02-11
V005012,no,yes,2026-02-11
V007170,yes,yes,2026-02-11
V001064,no,no,2026-02-11
V013255,no,no,2026-02-11
V001381,yes,yes,2026-02-11
V000571,no,no,2026-02-11
V014518,no,no,2026-02-11
V007138,no,no,2026-02-11
V018461,unknown,unknown,2026-02-11
V007001,no,no,2026-02-11
V005415,no,no,2026-02-11
V019620,unknown,unknown,2026-02-11
V008521,no,no,2026-02-11
V007794,no,no,2026-02-11
V002302,yes,yes,2026-02-11
V000014,unknown,unknown,2026-02-11
V004518,no,yes,2026-02-11
V007292,yes,yes,2026-02-11
V009007,yes,yes,2026-02-11
V006997,no,no,2026-02-11
V006998,no,no,2026-02-11
V008657,yes,yes,2026-02-11
V042452,yes,yes,2026-02-11
V012803,unknown,unknown,2026-02-11
V000922,no,no,2026-02-11
V011546,unknown,unknown,2026-02-11
V006151,no,no,2026-02-11
V009983,unknown,unknown,2026-02-11
V016988,no,no,2026-02-11
V001668,no,yes,2026-02-11
V010445,no,no,2026-02-11
V012614,no,no,2026-02-11
V029968,yes,yes,2026-02-11
V014187,unknown,unknown,2026-02-11
V005162,no,no,2026-02-11
V024657,no,no,2026-02-11
V042557,unknown,unknown,2026-02-11
V042854,yes,yes,2026-02-11
V025155,unknown,unknown,2026-02-11
V007207,unknown,unknown,2026-02-11
V043201,no,no,2026-02-11
V043380,no,yes,2026-02-11
V043698,no,no,2026-02-11
V046107,no,no,2026-02-11
V014618,no,no,2026-02-11
V043101,yes,yes,2026-02-11
V180667,yes,yes,2026-02-11
V028330,yes,yes,2026-02-11
V050566,no,no,2026-02-11
V050575,no,no,2026-02-11
V030698,no,no,2026-02-11
V017203,no,no,2026-02-11
V134969,no,no,2026-02-11
V036824,unknown,unknown,2026-02-11
V042687,unknown,unknown,2026-02-11
V050626,no,no,2026-02-11
V055677,no,no,2026-02-11
V021152,unknown,unknown,2026-02-11
V039927,unknown,unknown,2026-02-11
V269520,no,yes,2026-02-11
V050552,no,no,2026-02-11
V061240,no,no,2026-02-11
V133818,no,no,2026-02-11
V043784,no,no,2026-02-11
V163562,no,no,2026-02-11
V162878,unknown,unknown,2026-02-11
V019632,yes,yes,2026-02-11
V166067,no,no,2026-02-11
V044610,yes,yes,2026-02-11
V041194,no,no,2026-02-11
V282301,no,no,2026-02-11
V285351,no,no,2026-02-11
V285369,no,no,2026-02-11
V257595,unknown,unknown,2026-02-11
V307447,yes,yes,2026-02-11
V333268,yes,yes,2026-02-11
V260283,no,no,2026-02-11
V026886,unknown,unknown,2026-02-11
V342394,no,no,2026-02-11
V264896,no,yes,2026-02-11
V369170,no,no,2026-02-11
V291385,no,no,2026-02-11
V028136,unknown,unknown,2026-02-11
V364963,unknown,unknown,2026-02-11
V359484,no,no,2026-02-11
V366924,yes,yes,2026-02-11
V373199,no,no,2026-02-11
V003026,no,no,2026-02-11
V002664,no,yes,2026-02-11
V002973,yes,yes,2026-02-11
V002728,no,no,2026-02-11
V008943,no,no,2026-02-11
V008629,no,yes,2026-02-11
V003542,yes,yes,2026-02-11
V010944,no,no,2026-02-11
V002635,no,yes,2026-02-11
V043387,no,no,2026-02-11
V006448,yes,yes,2026-02-11
V009024,no,no,2026-02-11
V001619,yes,yes,2026-02-11
V005818,no,no,2026-02-11
V001626,no,no,2026-02-11
V001572,yes,yes,2026-02-11
V001694,no,no,2026-02-11
V006110,no,no,2026-02-11
V008643,unknown,unknown,2026-02-11
V006156,no,no,2026-02-11
V005832,no,no,2026-02-11
V007800,no,no,2026-02-11
V007793,no,yes,2026-02-11
V006518,no,no,2026-02-11
V007490,yes,yes,2026-02-11
V005826,no,yes,2026-02-11
V005126,unknown,unknown,2026-02-11
V014598,no,yes,2026-02-11
V006269,yes,yes,2026-02-11
V002207,no,yes,2026-02-11
V003871,no,no,2026-02-11
V003056,yes,yes,2026-02-11
V003684_1,no,no,2026-02-11
V004210,yes,yes,2026-02-11
V001690,no,no,2026-02-11
V005481,yes,yes,2026-02-11
V001913,yes,yes,2026-02-11
V001917,no,no,2026-02-11
V017461,no,no,2026-02-11
V003695,no,yes,2026-02-11
V000117,unknown,unknown,2026-02-11
V000114,no,no,2026-02-11
V003680,no,no,2026-02-11
V003657,yes,yes,2026-02-11
V000032,no,yes,2026-02-11
V001929,no,no,2026-02-11
V001922,no,yes,2026-02-11
V000075,unknown,unknown,2026-02-11
V000077,no,no,2026-02-11
V000682,no,no,2026-02-11
V001044,yes,yes,2026-02-11
V001030,no,no,2026-02-11
V001893,yes,yes,2026-02-11
V001032,yes,yes,2026-02-11
V022080,yes,yes,2026-02-11
V005371,no,no,2026-02-11
V004414,no,no,2026-02-11
V005181,no,no,2026-02-11
V016050,no,no,2026-02-11
V008692,no,no,2026-02-11
V007157,no,no,2026-02-11
V004193,unknown,unknown,2026-02-11
V007282,no,no,2026-02-11
V007675,no,no,2026-02-11
V007674,no,no,2026-02-11
V008274,no,no,2026-02-11
V002017,no,no,2026-02-11
V007424,no,no,2026-02-11
V001902,no,no,2026-02-11
V008262,yes,yes,2026-02-11
V024141,no,no,2026-02-11
V004201,yes,yes,2026-02-11
V003280,yes,yes,2026-02-11
V012131,no,yes,2026-02-11
V006864,no,no,2026-02-11
V008098,yes,yes,2026-02-11
V003191,no,no,2026-02-11
V002942,no,no,2026-02-11
V002947,no,no,2026-02-11
V004972,no,yes,2026-02-11
V004540,yes,yes,2026-02-11
V004072,yes,yes,2026-02-11
V010788,no,yes,2026-02-11
V006011,no,no,2026-02-11
V005660,yes,yes,2026-02-11
V000780,yes,yes,2026-02-11
V002552,unknown,unknown,2026-02-11
V001823,no,yes,2026-02-11
V006026,no,yes,2026-02-11
V013308,yes,yes,2026-02-11
V002401,no,yes,2026-02-11
V005344,unknown,unknown,2026-02-11
V005407,no,no,2026-02-11
V005382,no,yes,2026-02-11
V009188,no,no,2026-02-11
V003926,no,no,2026-02-11
V016882,no,yes,2026-02-11
V005453,no,yes,2026-02-11
V009200,no,no,2026-02-11
V001188,yes,yes,2026-02-11
V002329,yes,yes,2026-02-11
V000764,yes,yes,2026-02-11
V002467,yes,yes,2026-02-11
V002291,yes,yes,2026-02-11
V014610,no,yes,2026-02-11
V014146,yes,yes,2026-02-11
V002360,yes,yes,2026-02-11
V005354,yes,yes,2026-02-11
V003590,yes,yes,2026-02-11
V005147,no,no,2026-02-11
V011113,no,no,2026-02-11
V007418,yes,yes,2026-02-11
V006062,no,no,2026-02-11
V007350,yes,yes,2026-02-11
V007363,yes,yes,2026-02-11
V002575,yes,yes,2026-02-11
V006816,no,no,2026-02-11
V006190,unknown,unknown,2026-02-11
V007311,yes,yes,2026-02-11
V008081,no,no,2026-02-11
V008681,unknown,unknown,2026-02-11
V007930,no,no,2026-02-11
V012686,yes,yes,2026-02-11
V008682,no,no,2026-02-11
V010979,yes,yes,2026-02-11
V006928,no,no,2026-02-11
V001419,no,no,2026-02-11
V001406,no,no,2026-02-11
V008038,yes,yes,2026-02-11
V008991,no,no,2026-02-11
V006735,yes,yes,2026-02-11
V006523,yes,yes,2026-02-11
V006433,no,no,2026-02-11
V007190,yes,yes,2026-02-11
V005076,yes,yes,2026-02-11
V004468,no,no,2026-02-11
V007271,no,no,2026-02-11
V012392,no,no,2026-02-11
V002410,no,yes,2026-02-11
V002417,no,no,2026-02-11
V008697,yes,yes,2026-02-11
V007535,yes,yes,2026-02-11
V004868,no,no,2026-02-11
V004851,no,no,2026-02-11
V006341,unknown,unknown,2026-02-11
V004627,yes,yes,2026-02-11
V008978,no,yes,2026-02-11
V000289,no,no,2026-02-11
V000258,no,yes,2026-02-11
V003132,no,no,2026-02-11
V002670,yes,yes,2026-02-11
V006308,unknown,unknown,2026-02-11
V005884,yes,yes,2026-02-11
V007878,yes,yes,2026-02-11
V001124,no,yes,2026-02-11
V000366,unknown,unknown,2026-02-11
V026618_1,no,yes,2026-02-11
V001148,no,no,2026-02-11
V004681,no,yes,2026-02-11
V023369,unknown,unknown,2026-02-11
V007454,no,no,2026-02-11
V000715,no,no,2026-02-11
V005034,yes,yes,2026-02-11
V011352,yes,yes,2026-02-11
V007263,no,no,2026-02-11
V006067,yes,yes,2026-02-11
V005402,no,no,2026-02-11
V000193,yes,yes,2026-02-11
V001738,no,no,2026-02-11
V002376,yes,yes,2026-02-11
V002934,no,yes,2026-02-11
V005303,no,no,2026-02-11
V010746,no,no,2026-02-11
V002262,unknown,unknown,2026-02-11
V002481,no,no,2026-02-11
V002769,yes,yes,2026-02-11
V000009,no,no,2026-02-11
V001815,no,no,2026-02-11
V008649,no,no,2026-02-11
V000329,no,no,2026-02-11
V002924,no,yes,2026-02-11
V000007,yes,yes,2026-02-11
V014078,no,no,2026-02-11
V000496,no,no,2026-02-11
V004771,no,yes,2026-02-11
V004565,no,no,2026-02-11
V001234,no,no,2026-02-11
V002227,yes,yes,2026-02-11
V001168,yes,yes,2026-02-11
V044872,no,yes,2026-02-11
V007552,no,no,2026-02-11
V002102,unknown,unknown,2026-02-11
V002935,unknown,unknown,2026-02-11
V017148,no,no,2026-02-11
V011743,yes,yes,2026-02-11
V006391,no,no,2026-02-11
V006392,no,no,2026-02-11
V003204,no,no,2026-02-11
V006442,yes,yes,2026-02-11
V012313,yes,yes,2026-02-11
V001412,no,no,2026-02-11
V008606,no,no,2026-02-11
V002611,no,yes,2026-02-11
V007544,no,no,2026-02-11
V384841,yes,yes,2026-02-11
V385194,unknown,unknown,2026-02-11
V006685,no,no,2026-02-11
V008185,no,no,2026-02-11
V001754,yes,yes,2026-02-11
V001758,yes,yes,2026-02-11
V001844,no,no,2026-02-11
V008244,no,no,2026-02-11
V008246,no,no,2026-02-11
V007799,no,no,2026-02-11
V010004,no,no,2026-02-11
V401569,unknown,unknown,2026-02-11
V007083,no,no,2026-02-11
V007953,no,no,2026-02-11
V002596,yes,yes,2026-02-11
V004401,no,no,2026-02-11
V001098,no,no,2026-02-11
V002727,no,no,2026-02-11
V001289,unknown,unknown,2026-02-11
V007616,no,no,2026-02-11
V010865,no,no,2026-02-11
V006030,yes,yes,2026-02-11
V013330,yes,yes,2026-02-11
V007094,no,no,2026-02-11
V000648,yes,yes,2026-02-11
V001360,no,no,2026-02-11
V001337,no,no,2026-02-11
V006204,yes,yes,2026-02-11
V006650,yes,yes,2026-02-11
V001704,no,no,2026-02-11
V003358,no,no,2026-02-11
V006952,yes,yes,2026-02-11
V002593,no,yes,2026-02-11
V003077,no,no,2026-02-11
V002526,no,no,2026-02-11
V006045,yes,yes,2026-02-11
V002799,no,no,2026-02-11
V006136,yes,yes,2026-02-11
V014134,no,yes,2026-02-11
V196672,no,yes,2026-02-11
V002252,no,no,2026-02-11
V007024,no,no,2026-02-11
V003547,no,no,2026-02-11
V000863,no,no,2026-02-11
V005483,yes,yes,2026-02-11
V007654,no,yes,2026-02-11
V009129,no,no,2026-02-11
V000023,no,no,2026-02-11
V000752,no,no,2026-02-11
V000753,no,no,2026-02-11
V000784,no,yes,2026-02-11
V008742,no,no,2026-02-11
V004773,no,no,2026-02-11
V003262,no,no,2026-02-11
V022378,no,no,2026-02-11
V000741,unknown,unknown,2026-02-11
V009137,no,no,2026-02-11
V032610,yes,yes,2026-02-11
V006297,yes,yes,2026-02-11
V004058,yes,yes,2026-02-11
V000642,yes,yes,2026-02-11
V001434,no,no,2026-02-11
V000688,yes,yes,2026-02-11
V007260,yes,yes,2026-02-11
V004745,no,no,2026-02-11
V001199,no,no,2026-02-11
V001203,yes,yes,2026-02-11
V001204,yes,yes,2026-02-11
V000501,yes,yes,2026-02-11
V000531,yes,yes,2026-02-11
V000676,yes,yes,2026-02-11
V000651,no,no,2026-02-11
V000475,no,yes,2026-02-11
V003718,no,no,2026-02-11
V009341,no,no,2026-02-11
V011464,no,no,2026-02-11
V005454,no,yes,2026-02-11
V001526,unknown,unknown,2026-02-11
V010424,yes,yes,2026-02-11
V013853,yes,yes,2026-02-11
V010192,no,no,2026-02-11
V004225,no,no,2026-02-11
V011138,yes,yes,2026-02-11
V003219,no,no,2026-02-11
V001739,no,no,2026-02-11
V025891,unknown,unknown,2026-02-11
V002099,yes,yes,2026-02-11
V001164,no,no,2026-02-11
V000024,no,no,2026-02-11
V001804,no,no,2026-02-11
V000610,no,no,2026-02-11
V000614,no,no,2026-02-11
V008946,no,no,2026-02-11
V004257,no,no,2026-02-11
V004620,yes,yes,2026-02-11
V012134,no,no,2026-02-11
V004309,no,yes,2026-02-11
V012912,no,yes,2026-02-11
V013014,no,no,2026-02-11
V001474,yes,yes,2026-02-11
V011341,yes,yes,2026-02-11
V003456,no,no,2026-02-11
V004803,no,no,2026-02-11
V028076,no,no,2026-02-11
V010319,no,yes,2026-02-11
V012529,no,no,2026-02-11
V001266,no,yes,2026-02-11
V013226,no,no,2026-02-11
V005770,no,no,2026-02-11
V011530,no,yes,2026-02-11
V002713,no,no,2026-02-11
